what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096603985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096618042
executed,command,com.altera.sbtgui.flash.plugin,13.0.0.156,"com.altera.sbtgui.flash.plugin.commands.flashCommand",1471096621383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096622091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096798933
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471096799024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096801473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096802886
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471096811271
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471096813371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096827376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096853807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096855505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096901401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096903785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096934941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096936767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471097568198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471097568517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471097569473
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471097570113
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1471097571691
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1471097571691
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1471097571691
stopped,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1471097572686
stopped,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1471097572761
stopped,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1471097572761
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1471097572761
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1471097572761
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1471097572761
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1471097572776
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1471097572776
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1471097572777
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1471097572799
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1471097572802
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1471097572803
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1471097572803
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1471097572826
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1471097572826
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1471097572826
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1471097572826
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.traditional",1471097572829
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1471097572829
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1471097572829
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1471097572857
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1471097572857
